Bin,RCB-0211-1754_q0,RCB-1287-1773_q0,RCB-item4-1754_q0,RCB-HT50-1754_q0,RCB-HT53-1773_q0,RCB-8496-1754_q0,RCB-8499-1773_q0,RCB-G300-item4a_q0,RCB-G304-Item4a_q0,RCB-G308-Item4a_q0,RCB-G303-item4a_q0,RCB-G307-Item4a_q0,RCB-G311-Item4a_q0,RCB-G312-item4b_q0,RCB-G316-Item4b_q0,RCB-G320-Item4b_q0,RCB-G315-item4b_q0,RCB-G319-Item4b_q0,RCB-G323-Item4b_q0,RCB-Item4c1-Item4c_q0,RCB-Item4c2-Item4c_q0,RCB-0213-0211_q0,RCB-HT51-HT50_q0,RCB-8497-8496_q0,RCB-item4a-fv2ac_q0,RCB-item4b-fv2ac_q0,RCB-item4c-fv2ac_q0,RCB-A549-itemM2a_q0,RCB-A550-itemM2a_q0,RCB-A551-itemM2a_q0,RCB-A552-itemM2a_q0,RCB-A553-itemM2a_q0,RCB-A554-itemM2a_q0,RCB-A555-itemM2b_q0,RCB-A556-itemM2b_q0,RCB-A557-itemM2b_q0,RCB-A558-itemM2b_q0,RCB-A559-itemM2b_q0,RCB-A560-itemM2b_q0,RC-Item2-Item12_q0,RC-Item4-Item12_q0,RC-Item5-Item12_q0,RC-Item10-Item12_q0,RC-2200-Item21_q0,RC-3548-Item21_q0,RC-3190-Item21_q0,RC-2930-Item21_q0,RCRI-P840-A223_q0,RCRI-P840-RWA+_q0,RCRI-P859-A223_q0,RCRI-P859-RWA+_q0,RCRI-ZRWA-A223_q0,RCRI-ZRWA-RWA_q0,RCRI-ZRWA-RWA+_q0,RCRI-ZRWA-RWA++_q0
JSD,0.163055777,0.296489869,0.251648373,0.224442371,0.313896262,0.235409326,0.467141461,0.232430699,0.247313565,0.104228371,0.361029595,0.343015777,0.03178756,0.159557169,0.028287767,0.060738798,0.197454327,0.054033488,0.195893004,0.131876885,0.151352484,0.095254114,0.188551105,0.226363935,0.186660289,0.189406727,0.190758437,0.347902056,0.367905487,0.455819562,0.401431775,0.413706396,0.32506454,0.228948944,0.253268954,0.24004229,0.230852244,0.399355438,0.389340238,0.322336317,0.267057628,0.034740214,0.143310008,0.230265794,0.021524234,0.161319947,0.096422938,0.586754728,0.592364794,0.567212967,0.563826645,0.278977644,0.272841034,0.283948465,0.224273706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCB-0211-1754_q0q1,RCB-1287-1773_q0q1,RCB-item4-1754_q0q1,RCB-HT50-1754_q0q1,RCB-HT53-1773_q0q1,RCB-8496-1754_q0q1,RCB-8499-1773_q0q1,RCB-G300-item4a_q0q1,RCB-G304-Item4a_q0q1,RCB-G308-Item4a_q0q1,RCB-G303-item4a_q0q1,RCB-G307-Item4a_q0q1,RCB-G311-Item4a_q0q1,RCB-G312-item4b_q0q1,RCB-G316-Item4b_q0q1,RCB-G320-Item4b_q0q1,RCB-G315-item4b_q0q1,RCB-G319-Item4b_q0q1,RCB-G323-Item4b_q0q1,RCB-Item4c1-Item4c_q0q1,RCB-Item4c2-Item4c_q0q1,RCB-0213-0211_q0q1,RCB-HT51-HT50_q0q1,RCB-8497-8496_q0q1,RCB-item4a-fv2ac_q0q1,RCB-item4b-fv2ac_q0q1,RCB-item4c-fv2ac_q0q1,RCB-A549-itemM2a_q0q1,RCB-A550-itemM2a_q0q1,RCB-A551-itemM2a_q0q1,RCB-A552-itemM2a_q0q1,RCB-A553-itemM2a_q0q1,RCB-A554-itemM2a_q0q1,RCB-A555-itemM2b_q0q1,RCB-A556-itemM2b_q0q1,RCB-A557-itemM2b_q0q1,RCB-A558-itemM2b_q0q1,RCB-A559-itemM2b_q0q1,RCB-A560-itemM2b_q0q1,RC-Item2-Item12_q0q1,RC-Item4-Item12_q0q1,RC-Item5-Item12_q0q1,RC-Item10-Item12_q0q1,RC-2200-Item21_q0q1,RC-3548-Item21_q0q1,RC-3190-Item21_q0q1,RC-2930-Item21_q0q1,RCRI-P840-A223_q0q1,RCRI-P840-RWA+_q0q1,RCRI-P859-A223_q0q1,RCRI-P859-RWA+_q0q1,RCRI-ZRWA-A223_q0q1,RCRI-ZRWA-RWA_q0q1,RCRI-ZRWA-RWA+_q0q1,RCRI-ZRWA-RWA++_q0q1
,0.130191067,0.251461819,0.167581356,0.180339773,0.322197425,0.174745866,0.384959326,0.172113829,0.161069982,0.022509887,0.245378658,0.192523511,0.106538179,0.090417077,0.014000737,0.135821252,0.114084354,0.06729774,0.178202019,0.074620403,0.071504105,0.066641896,0.124026833,0.196289602,0.156929455,0.156158236,0.108945758,0.411707575,0.438761547,0.454338565,0.431743162,0.391139048,0.330215541,0.292430643,0.321710839,0.296899172,0.299852266,0.297348107,0.265771387,0.334744547,0.185675499,0.192204375,0.246629724,0.175668338,0.177800042,0.338512811,0.380224877,0.42221313,0.415573417,0.406400899,0.399566459,0.340496823,0.334686978,0.337902949,0.340746809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCB-0211-1754_q0q2,RCB-1287-1773_q0q2,RCB-item4-1754_q0q2,RCB-HT50-1754_q0q2,RCB-HT53-1773_q0q2,RCB-8496-1754_q0q2,RCB-8499-1773_q0q2,RCB-G300-item4a_q0q2,RCB-G304-Item4a_q0q2,RCB-G308-Item4a_q0q2,RCB-G303-item4a_q0q2,RCB-G307-Item4a_q0q2,RCB-G311-Item4a_q0q2,RCB-G312-item4b_q0q2,RCB-G316-Item4b_q0q2,RCB-G320-Item4b_q0q2,RCB-G315-item4b_q0q2,RCB-G319-Item4b_q0q2,RCB-G323-Item4b_q0q2,RCB-Item4c1-Item4c_q0q2,RCB-Item4c2-Item4c_q0q2,RCB-0213-0211_q0q2,RCB-HT51-HT50_q0q2,RCB-8497-8496_q0q2,RCB-item4a-fv2ac_q0q2,RCB-item4b-fv2ac_q0q2,RCB-item4c-fv2ac_q0q2,RCB-A549-itemM2a_q0q2,RCB-A550-itemM2a_q0q2,RCB-A551-itemM2a_q0q2,RCB-A552-itemM2a_q0q2,RCB-A553-itemM2a_q0q2,RCB-A554-itemM2a_q0q2,RCB-A555-itemM2b_q0q2,RCB-A556-itemM2b_q0q2,RCB-A557-itemM2b_q0q2,RCB-A558-itemM2b_q0q2,RCB-A559-itemM2b_q0q2,RCB-A560-itemM2b_q0q2,RC-Item2-Item12_q0q2,RC-Item4-Item12_q0q2,RC-Item5-Item12_q0q2,RC-Item10-Item12_q0q2,RC-2200-Item21_q0q2,RC-3548-Item21_q0q2,RC-3190-Item21_q0q2,RC-2930-Item21_q0q2,RCRI-P840-A223_q0q2,RCRI-P840-RWA+_q0q2,RCRI-P859-A223_q0q2,RCRI-P859-RWA+_q0q2,RCRI-ZRWA-A223_q0q2,RCRI-ZRWA-RWA_q0q2,RCRI-ZRWA-RWA+_q0q2,RCRI-ZRWA-RWA++_q0q2
,0.126758811,0.272854604,0.221226943,0.216426576,0.357625649,0.207626543,0.386215177,0.166702344,0.173680167,0.024504233,0.303797789,0.243938777,0.112742939,0.089584121,0.016023459,0.162528223,0.138081258,0.059664798,0.212591836,0.10145645,0.1011905,0.090138458,0.204830217,0.208474452,0.166281344,0.223394754,0.136026447,0.416390579,0.442496174,0.480615284,0.419576014,0.395220644,0.376101669,0.299063472,0.30233842,0.328780516,0.308864587,0.353077621,0.301176817,0.317672615,0.257250389,0.203846262,0.270911873,0.183100766,0.17868328,0.373653396,0.438336274,0.437079157,0.454050283,0.45268766,0.453103102,0.352382423,0.351785878,0.376320214,0.381597702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCB-0211-1754_q0q3,RCB-1287-1773_q0q3,RCB-item4-1754_q0q3,RCB-HT50-1754_q0q3,RCB-HT53-1773_q0q3,RCB-8496-1754_q0q3,RCB-8499-1773_q0q3,RCB-G300-item4a_q0q3,RCB-G304-Item4a_q0q3,RCB-G308-Item4a_q0q3,RCB-G303-item4a_q0q3,RCB-G307-Item4a_q0q3,RCB-G311-Item4a_q0q3,RCB-G312-item4b_q0q3,RCB-G316-Item4b_q0q3,RCB-G320-Item4b_q0q3,RCB-G315-item4b_q0q3,RCB-G319-Item4b_q0q3,RCB-G323-Item4b_q0q3,RCB-Item4c1-Item4c_q0q3,RCB-Item4c2-Item4c_q0q3,RCB-0213-0211_q0q3,RCB-HT51-HT50_q0q3,RCB-8497-8496_q0q3,RCB-item4a-fv2ac_q0q3,RCB-item4b-fv2ac_q0q3,RCB-item4c-fv2ac_q0q3,RCB-A549-itemM2a_q0q3,RCB-A550-itemM2a_q0q3,RCB-A551-itemM2a_q0q3,RCB-A552-itemM2a_q0q3,RCB-A553-itemM2a_q0q3,RCB-A554-itemM2a_q0q3,RCB-A555-itemM2b_q0q3,RCB-A556-itemM2b_q0q3,RCB-A557-itemM2b_q0q3,RCB-A558-itemM2b_q0q3,RCB-A559-itemM2b_q0q3,RCB-A560-itemM2b_q0q3,RC-Item2-Item12_q0q3,RC-Item4-Item12_q0q3,RC-Item5-Item12_q0q3,RC-Item10-Item12_q0q3,RC-2200-Item21_q0q3,RC-3548-Item21_q0q3,RC-3190-Item21_q0q3,RC-2930-Item21_q0q3,RCRI-P840-A223_q0q3,RCRI-P840-RWA+_q0q3,RCRI-P859-A223_q0q3,RCRI-P859-RWA+_q0q3,RCRI-ZRWA-A223_q0q3,RCRI-ZRWA-RWA_q0q3,RCRI-ZRWA-RWA+_q0q3,RCRI-ZRWA-RWA++_q0q3
,0.130343881,0.273584044,0.22003328,0.247387703,0.407074147,0.196245138,0.406252689,0.182771082,0.174444821,0.025579138,0.318637767,0.244238524,0.11448776,0.076663664,0.017523603,0.184235764,0.16023703,0.062315625,0.216060154,0.088294082,0.107330148,0.092363125,0.233369679,0.219560024,0.199475346,0.247493751,0.166738364,0.408030921,0.443210751,0.506321881,0.445683365,0.441720567,0.379379375,0.31449437,0.314389928,0.335717251,0.326787099,0.373570328,0.316433933,0.350706042,0.282633205,0.21160952,0.282262361,0.218892426,0.172728027,0.398220127,0.395755323,0.420989693,0.412134499,0.419251391,0.409384203,0.364381756,0.363900489,0.369621347,0.368751929